// Programs
0;CONFIG0.RES0.INSTANCE0;PROGRAM0;

// Variables
0;VAR;CONFIG0.PLC_TICKS_PER_SEC;CONFIG0.PLC_TICKS_PER_SEC;INT;
1;VAR;CONFIG0.PLC_SYS_TICK_CNT;CONFIG0.PLC_SYS_TICK_CNT;DINT;
2;FB;CONFIG0.RES0.INSTANCE0;CONFIG0.RES0.INSTANCE0;PROGRAM0;
3;VAR;CONFIG0.RES0.INSTANCE0.IN;CONFIG0.RES0.INSTANCE0.IN;REAL;
4;VAR;CONFIG0.RES0.INSTANCE0.KP;CONFIG0.RES0.INSTANCE0.KP;REAL;
5;VAR;CONFIG0.RES0.INSTANCE0.TN;CONFIG0.RES0.INSTANCE0.TN;REAL;
6;VAR;CONFIG0.RES0.INSTANCE0.TV;CONFIG0.RES0.INSTANCE0.TV;REAL;
7;VAR;CONFIG0.RES0.INSTANCE0.ILIM_L;CONFIG0.RES0.INSTANCE0.ILIM_L;REAL;
8;VAR;CONFIG0.RES0.INSTANCE0.ILIM_H;CONFIG0.RES0.INSTANCE0.ILIM_H;REAL;
9;VAR;CONFIG0.RES0.INSTANCE0.IEN;CONFIG0.RES0.INSTANCE0.IEN;BOOL;
10;VAR;CONFIG0.RES0.INSTANCE0.RST;CONFIG0.RES0.INSTANCE0.RST;BOOL;
11;VAR;CONFIG0.RES0.INSTANCE0.Y;CONFIG0.RES0.INSTANCE0.Y;REAL;
12;VAR;CONFIG0.RES0.INSTANCE0.LIM;CONFIG0.RES0.INSTANCE0.LIM;BOOL;
13;FB;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK;FT_PID;
14;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.EN;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.EN;BOOL;
15;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.ENO;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.ENO;BOOL;
16;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.IN;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.IN;REAL;
17;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.KP;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.KP;REAL;
18;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.TN;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.TN;REAL;
19;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.TV;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.TV;REAL;
20;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.ILIM_L;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.ILIM_L;REAL;
21;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.ILIM_H;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.ILIM_H;REAL;
22;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.IEN;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.IEN;BOOL;
23;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.RST;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.RST;BOOL;
24;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.Y;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.Y;REAL;
25;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.LIM;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.LIM;BOOL;
26;FB;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.INTEG;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.INTEG;FT_INT_BLOCK;
27;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.INTEG.EN;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.INTEG.EN;BOOL;
28;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.INTEG.ENO;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.INTEG.ENO;BOOL;
29;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.INTEG.IN;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.INTEG.IN;REAL;
30;VAR;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.INTEG.K;CONFIG0.RES0.INSTANCE0.FUNC_BLOCK.INTEG.K;REAL;
